^Nr;0;0;smoothed;smoothed;smoothed
166;-26.56505118;-1.073059982;-7.945255312;-2.158452461;-1.073059982
167;15.2551187;-0.99044943;0.275111563;-1.7348066;-0.99044943
168;3.17983012;-1.051899291;4.749647214;-1.276003326;-1.051899291
169;-10.30484647;-0.943339542;-1.37715387;-0.975949831;-0.943339542
170;8.972626618;-0.823401292;-3.134558969;-0.805052;-0.823401292
171;-8.972626615;-0.69540791;2.044331501;-0.013187295;-0.69540791
172;7.125016347;-0.413505264;-0.28021416;0.117043719;-0.413505264
173;1.57E-09;-0.155516725;2.689569928;0.671710524;-0.155516725
174;-1.218875236;-0.037854139;-0.870990949;0.846056889;-0.037854139
175;1.218875237;0.171500368;0.518725949;0.904039202;0.171500368
176;1.005086004;0.206926097;1.33039376;0.447703289;0.206926097
177;0;0.268408796;-1.128492505;-0.071069645;0.268408796
178;-3.731396999;0.342511111;-1.755968749;-1.052247909;0.342511111
179;1.041626677;0.319947379;0.024038769;0.878905313;0.319947379
180;2.503139779;0.288969593;2.460571691;0.364969146;0.288969593
181;0.709069981;0.359124048;-0.563245808;-0.120681479;0.359124048
182;-3.788027354;0.242286463;0.005315126;0.41159761;0.242286463
183;4.40808734;0.128839761;-0.620121666;-0.303859161;0.128839761
184;-3.56200864;-0.090669569;0.827525376;0.153759139;-0.090669569
185;2.104700409;-0.514235594;-0.701725241;-0.321430234;-0.514235594
186;0;-0.840253758;1.767756737;-0.406823095;-0.840253758
187;1.45730823;0.23794445;-0.373160468;-0.401301236;0.23794445
188;-2.813785398;-0.25418251;-1.011133387;-0.450092738;-0.25418251
189;-0.748223241;-0.622031006;-1.718311703;-0.33425522;-0.622031006
190;-1.311887782;-0.007757668;-1.498523877;-0.444563414;-0.007757668
191;-2.152962789;-0.337749798;-1.189316189;0.010700672;-0.337749798
192;1.257789079;0.391209025;0.741921776;0.220693857;0.391209025
193;2.207061494;-0.035541596;1.435615907;0.081212835;-0.035541596
194;-9.19E-10;0.196115207;1.657564415;0.286477313;0.196115207
195;2.941948654;0.44930996;1.18662179;0.666601608;0.44930996
196;0;0.778029356;1.086885504;0.688214262;0.778029356
197;0.620059986;1.175969295;0.586503369;1.051639335;1.175969295
198;1.567703677;1.520767931;0.974048067;1.46125577;1.520767931
199;0;2.030363967;0.160301673;1.71667217;2.030363967
200;1.73E-10;2.322419364;1.004179683;1.988246223;2.322419364
201;3.780568534;2.386476634;2.128278597;1.785291567;2.386476634
202;1.839140822;2.474460808;3.169567413;2.256013741;2.474460808
203;3.949868023;2.86886312;3.568260047;2.650671098;2.86886312
204;4.365257735;3.003216742;3.381606983;3.473061767;3.003216742
205;1.789910609;3.384753961;4.003125147;4.113318556;3.384753961
206;6.404352726;3.509125408;3.757857976;4.305661194;3.509125408
207;2.568273888;3.692324398;5.084568574;4.417382132;3.692324398
208;5.517135979;3.505814425;2.907826032;4.089393279;3.505814425
209;1.129629545;3.548003192;3.871853931;3.726758623;3.548003192
210;5.72639451;3.498501685;3.181447919;3.408072365;3.498501685
211;3.635452957;3.595049316;6.932275644;3.157997334;3.595049316
212;8.875870535;3.691664238;3.782650693;3.287366527;3.691664238
213;-2.996218453;3.718758625;2.290624241;3.422286332;3.718758625
214;2.996218453;3.814808951;-0.526547076;3.365544767;3.814808951
215;0.150382278;3.832716931;1.849053109;3.532555581;3.832716931
216;2.862405226;3.864933844;2.663026299;3.269241805;3.864933844
217;5.710593137;3.748965181;5.200055314;3.151603742;3.748965181
218;5.599339337;3.852485208;5.842683316;3.363947449;3.852485208
219;5.38931176;3.614334361;5.589301945;3.439696807;3.614334361
220;5.102165253;3.502712705;4.5820363;3.624342899;3.502712705
221;2.426335831;3.55485957;2.744865676;3.65702222;3.55485957
222;1.118430624;3.371011195;0.978664045;4.214831971;3.371011195
223;1.218875236;3.234151758;1.982792533;4.080322453;3.234151758
224;4.398705354;3.037603086;3.263139134;4.18885989;3.037603086
225;3.416588192;2.742743482;3.986937855;3.057290374;2.742743482
226;4.27946353;2.642114282;4.914047146;3.0400897;2.642114282
227;6.340191747;2.22498128;4.644855217;2.218987544;2.22498128
228;1.548157698;2.073975453;3.118361723;1.890210875;2.073975453
229;1.631672421;1.742418748;0.655109954;1.791479304;1.742418748
230;5.54E-10;1.610906039;1.050574159;1.421722248;1.610906039
231;1.455633306;1.228151662;0.207947615;0.984503852;1.228151662
232;-1.455633307;1.071420434;-0.907235796;0.579497303;1.071420434
233;-1.63167242;0.455855679;-0.71708127;0.045604413;0.455855679
234;1.63167242;0.515745332;-0.466192121;-0.163182583;0.515745332
235;-1.631672421;0.387587472;1.104352905;-0.214365152;0.387587472
236;3.087305729;0.605394277;-0.157508362;0.226511163;0.605394277
237;-1.622675924;0.756430847;2.049349785;0.545610839;0.756430847
238;4.683264218;0.885047658;1.319941634;0.992312185;0.885047658
239;-0.390292188;1.037604862;1.309227921;1.335841304;1.037604862
240;-6.95E-10;1.180190504;0.25965653;1.565898912;1.180190504
241;2.86975131;1.312475573;2.04151835;1.715088725;1.312475573
242;2.205246086;1.652050299;2.394372439;1.948390157;1.652050299
243;1.655486538;1.917641341;2.078453305;2.14855565;1.917641341
244;2.663000766;2.321501093;1.978576752;2.284908936;2.321501093
245;1.735704589;2.563074346;2.648643213;2.431994132;2.563074346
246;3.366460663;2.814754534;2.144780506;2.771046999;2.814754534
247;1.397181027;3.078848357;2.699648199;2.864932496;3.078848357
248;3.922712891;3.106389199;3.093375886;3.199320825;3.106389199
249;3.842453127;3.065005218;4.20464565;3.141031337;3.065005218
250;3.731397;3.073782648;3.029837017;3.53194996;3.073782648
251;1.938960344;3.01479738;3.457576718;3.052097027;3.01479738
252;4.999425461;2.811184227;3.085791634;2.980092584;2.811184227
253;1.729883622;2.834809463;3.370296069;2.942151051;2.834809463
254;3.273154083;2.841979948;2.019795155;2.727576497;2.841979948
255;1.633910882;2.690487804;2.82503066;2.668205515;2.690487804
256;3.439348885;2.616629424;2.276170102;2.590755103;2.616629424
257;1.420265546;2.344480576;2.204143991;2.185949688;2.344480576
258;1.877877448;2.424074633;1.637551456;2.124976634;2.424074633
259;1.968152642;1.973568347;1.904523004;1.838284394;1.973568347
260;1.650862416;1.855640868;1.506906796;1.79358473;1.855640868
261;1.628123843;1.891509945;2.604671021;1.854644125;1.891509945
262;4.281536235;1.685635513;2.559185102;1.790884538;1.685635513
263;0.59964849;1.639451119;2.132436731;1.689421885;1.639451119
264;1.665106058;1.437922076;0.879836431;1.651363968;1.437922076
265;0.678024911;1.374471634;0.640935643;1.429849275;1.374471634
266;7.19E-10;1.542913196;0.630200937;1.60824978;1.542913196
267;2.42533441;1.479193552;2.284241536;1.315533558;1.479193552
268;3.395986959;1.622845781;2.252765398;1.4190352;1.622845781
269;9.80E-11;1.851982381;1.780199127;1.526344626;1.851982381
270;2.663000766;1.716259244;1.359502065;1.52222782;1.716259244
271;1.041626676;1.785536596;1.177324138;1.726526842;1.785536596
272;-1.14E-10;1.841426245;0.882897481;1.619841032;1.841426245
273;2.819105949;1.763969614;1.867761876;1.866157427;1.763969614
274;2.47945912;1.927910887;3.095435316;2.342608241;1.927910887
275;3.060588296;1.874832613;2.461829517;2.153055573;1.874832613
276;1.455633307;2.017284382;1.644124921;2.262109524;2.017284382
277;1.543253078;1.866889341;2.701645417;2.465103175;1.866889341
278;5.003037706;2.057478069;2.703025218;2.120476286;2.057478069
279;0;2.094580897;1.743100312;2.319645634;2.094580897
280;1.53263179;2.111284032;1.652364507;2.216680516;2.111284032
281;4.263254593;2.313361715;2.72626636;2.015845836;2.313361715
282;1.45730823;2.487723348;3.593201817;2.236124724;2.487723348
283;4.311761902;2.494337819;1.84486519;2.039407089;2.494337819
284;-0.895173711;2.645475563;0.820746541;2.173279307;2.645475563
285;0.895173711;2.580241256;1.281547815;2.228712663;2.580241256
286;4.72240688;2.507787574;2.852876646;2.617742478;2.507787574
287;1.118430625;2.818541255;2.251920399;2.769534984;2.818541255
288;2.426335831;2.836977248;3.764354602;2.848968058;2.836977248
289;7.765166018;2.998367834;4.311666073;3.302352924;2.998367834
290;0.643745714;3.453933644;4.192198005;3.684543322;3.453933644
291;4.861732144;3.525723749;2.639325797;3.640511012;3.525723749
292;2.820172472;3.649408423;3.467322977;3.878652823;3.649408423
293;2.848187912;4.037454511;3.652263698;3.826710316;4.037454511
294;5.724810452;4.175911688;4.011992918;3.496446491;4.175911688
295;2.848187912;4.236952859;4.972235758;3.815577342;4.236952859
296;5.599339336;4.217813156;2.920759088;3.426534936;4.217813156
297;0.578725566;4.108949627;3.658025536;3.742351768;4.108949627
298;5.636910334;3.955880204;3.293963398;4.162684065;3.955880204
299;2.699291058;3.527799299;3.194726768;3.709790655;3.527799299
300;1.025646076;3.103975432;2.026843021;3.483229629;3.103975432
301;4.095670435;2.455263401;3.051014244;3.505138484;2.455263401
302;3.708428157;1.693687873;4.05204887;2.645713349;1.693687873
303;3.850638825;0.839971912;4.333610031;2.084564535;0.839971912
304;4.500113707;-0.158347832;3.573847302;1.19693912;-0.158347832
305;2.27E-10;-0.835130154;-0.330054757;0.240446139;-0.835130154
306;-4.500113708;-1.614784565;-2.02804854;-0.608433731;-1.614784565
307;6.55E-10;-2.088000441;-3.396842127;-1.673993609;-2.088000441
308;-6.340191747;-2.238822479;-3.973133787;-2.658867239;-2.238822479
309;-3.731396999;-2.459191734;-3.531194072;-3.864190557;-2.459191734
310;-1.87E-10;-2.609751559;-1.977983054;-4.186463606;-2.609751559
311;-5.308085804;-2.467176671;-4.376511914;-4.748602657;-2.467176671
312;-6.741270506;-2.242739455;-5.601991846;-4.664329327;-2.242739455
313;-2.253532257;-1.712469994;-3.789498845;-3.821397607;-1.712469994
314;-3.090433579;-1.176604174;-2.568079582;-2.95386282;-1.176604174
315;-2.577926805;-0.662265616;-2.176879296;-1.181953944;-0.662265616
316;-0.136094233;0.07066574;-0.882538738;0.549934686;0.07066574
317;0.136094232;0.622423484;0.687380337;1.609401236;0.622423484
318;2.848187912;1.626748381;2.998814699;2.979977515;1.626748381
319;6.178064902;2.398871811;5.736284129;4.224676202;2.398871811
320;6.546290784;3.133824763;6.182325097;5.009126597;3.133824763
321;5.527540151;4.117804688;6.935333622;6.048665209;4.117804688
322;8.942753948;4.909801432;7.293239852;6.45255512;4.909801432
323;6.188615964;5.520673502;7.116919095;6.173615879;5.520673502
324;5.906141113;5.819147663;6.281400711;5.931083657;5.819147663
325;5.906141114;5.926164636;3.737767311;5.642287154;5.926164636
326;-0.378600962;5.839637363;2.706648928;5.30506296;5.839637363
327;5.782392322;5.733902942;4.415066092;4.950268192;5.733902942
328;7.125016349;5.615249193;5.713274163;4.539468518;5.615249193
329;2.337305858;5.532064686;5.078026323;4.478462164;5.532064686
330;6.577621099;5.246464584;4.016513759;4.647278727;5.246464584
331;3.02925023;4.895886801;4.524252344;4.806779476;4.895886801
332;4.755067047;4.651155659;4.895509618;4.718770939;4.651155659
333;7.37625402;4.730008204;6.192541252;4.835198091;4.730008204
334;4.875496953;4.600549329;5.75886538;4.890910992;4.600549329
335;5.04546394;4.693048233;5.122052217;4.595888947;4.693048233
336;5.372858095;4.904906721;4.281996505;4.938270203;4.904906721
337;2.450852637;5.223512985;4.030362651;4.918106677;5.223512985
338;5.599339338;5.551818823;4.843968142;4.710187276;5.551818823
339;5.710593137;5.859946346;4.808721883;5.463733431;5.859946346
340;2.489552922;6.050974114;4.130998476;5.776780282;6.050974114
341;6.162988869;6.301189514;5.321656155;6.088254523;6.301189514
342;7.807473021;6.414641518;7.972356656;6.517447802;6.414641518
343;8.315125757;6.353808475;7.64386296;6.723123075;6.353808475
344;6.654425046;6.2955265;8.126263472;7.08773894;6.2955265
345;9.625248156;6.05615669;8.337809164;7.403654279;6.05615669
